TXN0001234CR00012345678901234567890ACCT-001  2026-06-06                        
TXN0001235DB00005678901201234567890ACCT-002  2026-06-06                        
TXN0001236CR00098765432101234567890ACCT-003  2026-06-06                        
TXN0001237DB00001111111101234567890ACCT-004  2026-06-06                        
TXN0001238CR00022222222201234567890ACCT-005  2026-06-06                        
          CR00033333333301234567890ACCT-006  2026-06-06                        
TXN0001240XX00044444444401234567890ACCT-007  2026-06-06                        
TXN0001241CR00000000000001234567890ACCT-008  2026-06-06                        
TXN0001242DB00055555555501234567890           2026-06-06                        
TXN0001243CR00066666666601234567890ACCT-010  2026-06-06                        
TXN0001244DB00077777777701234567890ACCT-011  2026-06-06                        
TXN0001245CR00088888888801234567890ACCT-012  2026-06-06                        
TXN0001246DB00099999999901234567890ACCT-013  2026-06-06                        
TXN0001247CR00011111111101234567890ACCT-014  2026-06-06                        
TXN0001248DB00022222222201234567890ACCT-015  2026-06-06                        
